"TARGET","FIN.TRANSACTION DATE","FIN.POSTING DATE","FIN.TRANSACTION AMOUNT","MCH.MERCHANT NAME","MCH.CITY NAME","FIN.ORIGINAL CURRENCY AMOUNT","FIN.ORIGINAL ISO CURRENCY CODE SYMBOL","FIN.INET CONVERSION"
"S",4/17/06 12:00 AM,4/17/07 12:00 AM,36.55,"TESCO STORE 2296","COLNEY HATCH",36.55,"GBP",1.0
"N",4/17/06 12:00 AM,4/17/07 12:00 AM,58.75,"AMFBOWLING.CO.UK","01442 840200",58.75,"GBP",1.0
"S",4/17/10 12:00 AM,4/17/11 12:00 AM,40.5,"WWW.GOJUMPIN.COM","INTERNET",40.5,"GBP",1.0
"S",4/17/12 12:00 AM,4/17/13 12:00 AM,23.9,"AMFBOWLING.CO.UK","01442 840200",23.9,"GBP",1.0
"N",4/17/12 12:00 AM,4/17/13 12:00 AM,24.28,"VUE BSL LTD","LONDON",24.28,"GBP",1.0
"N",4/17/12 12:00 AM,4/17/13 12:00 AM,93.92,"B & M RETAIL","TOTTENHAM",93.92,"GBP",1.0
"N",4/17/15 12:00 AM,4/17/17 12:00 AM,58.0,"WILKO.COM","0845 6080807",58.0,"GBP",1.0
"S",4/17/18 12:00 AM,4/17/19 12:00 AM,12.0,"TESCO STORES 2296","COLNEY HATCH",12.0,"GBP",1.0
"S",4/17/18 12:00 AM,4/17/19 12:00 AM,11.5,"ASDA SUPERSTORE","S'GATE CIRCUS",11.5,"GBP",1.0
"N",4/17/18 12:00 AM,4/17/19 12:00 AM,20.72,"ASDA SUPERSTORE","S'GATE CIRCUS",20.72,"GBP",1.0
"S",4/17/25 12:00 AM,4/17/26 12:00 AM,90.21,"HOMEBASE LTD 024","LONDON  N11",90.21,"GBP",1.0
"S",4/17/28 12:00 AM,5/17/01 12:00 AM,24.71,"HOMEBASE LTD 024","LONDON  N11",24.71,"GBP",1.0
"N",4/17/28 12:00 AM,5/17/01 12:00 AM,-22.79,"HOMEBASE LTD 024","LONDON  N11",-22.79,"GBP",1.0
"N",4/17/27 12:00 AM,5/17/01 12:00 AM,47.12,"AMAZON UK RETAIL AMAZO","AMAZON.CO.UK",47.12,"GBP",1.0
"N",4/17/09 12:00 AM,4/17/10 12:00 AM,5.0,"GIFFGAFF.COM","ONLINE STORE",5.0,"GBP",1.0
"N",4/17/28 12:00 AM,5/17/01 12:00 AM,5.0,"GIFFGAFF.COM","ONLINE STORE",5.0,"GBP",1.0
"S",4/17/04 12:00 AM,4/17/05 12:00 AM,338.95,"CURRYS","STEVENAGE",338.95,"GBP",1.0
"S",4/17/04 12:00 AM,4/17/06 12:00 AM,11.5,"TFL ROAD CHARGE","0343 222 2222",11.5,"GBP",1.0
"N",4/17/05 12:00 AM,4/17/07 12:00 AM,11.5,"TFL ROAD CHARGE","0343 222 2222",11.5,"GBP",1.0
"N",4/17/11 12:00 AM,4/17/13 12:00 AM,11.5,"TFL ROAD CHARGE","0343 222 2222",11.5,"GBP",1.0
"S",4/17/20 12:00 AM,4/17/21 12:00 AM,14.0,"SAINSBURYS 0567","LONDON COLNEY",14.0,"GBP",1.0
"N",4/17/25 12:00 AM,4/17/26 12:00 AM,355.0,"PINKS FLORISTS SPIRES","BARNET",355.0,"GBP",1.0
"N",4/17/25 12:00 AM,4/17/27 12:00 AM,11.5,"TFL ROAD CHARGE","0343 222 2222",11.5,"GBP",1.0
"N",4/17/05 12:00 AM,4/17/07 12:00 AM,620.92,"ARGOS DIRECT","HOME SHOPPING",620.92,"GBP",1.0
"S",4/17/11 12:00 AM,4/17/12 12:00 AM,40.98,"WWW.ARGOS.CO.UK","INTERNET",40.98,"GBP",1.0
"N",4/17/12 12:00 AM,4/17/13 12:00 AM,80.44,"ARGOS RETAIL GROUP","INTERNET",80.44,"GBP",1.0
"N",4/17/12 12:00 AM,4/17/13 12:00 AM,124.99,"ARGOS RETAIL GROUP","INTERNET",124.99,"GBP",1.0
"S",4/17/12 12:00 AM,4/17/13 12:00 AM,319.97,"WWW.ARGOS.CO.UK","INTERNET",319.97,"GBP",1.0
"N",4/17/13 12:00 AM,4/17/14 12:00 AM,718.95,"WWW.TWINSUK.CO.UK","01670 856996",718.95,"GBP",1.0
"N",4/17/20 12:00 AM,4/17/24 12:00 AM,103.94,"WWW.ARGOS.CO.UK","INTERNET",103.94,"GBP",1.0
"N",4/17/25 12:00 AM,4/17/26 12:00 AM,115.2,"PAYPAL  EDKHAULAGEL","35314369001",115.2,"GBP",1.0
"N",4/17/26 12:00 AM,4/17/27 12:00 AM,203.99,"AO RETAIL LIMITED",".",203.99,"GBP",1.0
"S",4/17/26 12:00 AM,4/17/27 12:00 AM,375.0,"ROC PRIVATE CLINIC","LONDON  W1G",375.0,"GBP",1.0
"N",4/17/12 12:00 AM,4/17/13 12:00 AM,344.98,"CURRYS ONLINE","HEMEL HEMPSTE",344.98,"GBP",1.0
